county,tract,intptlat,intptlon
31,2600,30.327293,-81.693321
31,2701,30.345638,-81.709549
31,2702,30.335697,-81.713913
31,2801,30.357443,-81.697929
31,2802,30.343603,-81.689812
31,2901,30.36034,-81.682655
31,2902,30.347622,-81.680771
31,10101,30.506445,-81.59803
31,10102,30.500685,-81.54084
31,10103,30.429583,-81.444061
31,10201,30.461651,-81.608421
31,10202,30.422474,-81.623001
31,10301,30.530359,-81.681641
31,10303,30.445393,-81.684181
31,10304,30.44282,-81.656158
31,10400,30.415894,-81.666374
31,10500,30.463892,-81.767754
31,10600,30.383123,-81.830017
31,10700,30.395742,-81.73526
31,10800,30.410095,-81.723717
31,10900,30.401762,-81.713402
31,11000,30.409645,-81.686134
31,11100,30.393776,-81.670883
31,11200,30.38986,-81.69339
31,11300,30.392107,-81.708122
31,11400,30.379082,-81.712044
31,11500,30.37686,-81.686554
31,11600,30.371502,-81.712669
31,11700,30.354496,-81.768646
31,11800,30.338917,-81.741692
31,11901,30.326145,-81.808807
31,11902,30.28964,-81.824142
31,11903,30.309303,-81.816147
31,12000,30.310228,-81.766693
31,12100,30.319595,-81.74041
31,12200,30.29814,-81.741692
31,12300,30.294947,-81.725281
31,12400,30.275072,-81.727913
31,12500,30.271513,-81.740974
31,12601,30.292957,-81.760475
31,12602,30.280224,-81.757278
31,12701,30.273668,-81.777252
31,12702,30.270084,-81.800644
31,12800,30.258059,-81.76281
31,12900,30.258911,-81.747398
31,13000,30.26302,-81.69799
31,13100,30.247389,-81.685898
31,13200,30.222008,-81.66626
31,13300,30.210295,-81.711845
31,13401,30.255375,-81.728218
31,13402,30.237923,-81.727089
31,13502,30.217342,-81.777687
31,13503,30.217241,-81.762878
31,13504,30.239658,-81.784637
31,13521,30.222656,-81.749001
31,13522,30.220215,-81.726227
31,13600,30.271732,-81.907211
31,13721,30.269001,-81.851166
31,13723,30.216757,-81.828354
31,13724,30.214279,-81.789063
31,13725,30.258396,-81.970474
31,13800,30.384716,-81.398239
31,13901,30.355047,-81.431358
31,13902,30.333052,-81.422882
31,13903,30.337679,-81.396477
31,13904,30.364481,-81.417976
31,14000,30.31514,-81.393417
31,14101,30.297121,-81.412514
31,14102,30.297838,-81.390625
31,14201,30.261513,-81.382996
31,14202,30.280663,-81.387421
31,14311,30.307245,-81.535751
31,14312,30.29257,-81.509201
31,14313,30.311323,-81.504555
31,14322,30.351057,-81.45974
31,14324,30.367674,-81.497162
31,14325,30.343468,-81.479263
31,14326,30.302971,-81.471863
31,14327,30.302898,-81.44207
31,14328,30.336311,-81.510033
31,14401,30.269138,-81.530678
31,14404,30.273329,-81.511162
31,14405,30.272024,-81.454285
31,14406,30.229832,-81.530853
31,14407,30.175148,-81.472824
31,14500,30.301426,-81.552574
31,14601,30.380959,-81.547234
31,14602,30.338728,-81.542297
31,14701,30.384787,-81.607994
31,14702,30.381628,-81.583054
31,14800,30.354362,-81.60833
31,14901,30.358532,-81.584694
31,14902,30.357105,-81.567902
31,15001,30.345028,-81.565102
31,15002,30.32786,-81.566727
31,15100,30.341835,-81.583809
31,15200,30.346571,-81.596504
31,15300,30.336092,-81.609451
31,15400,30.334629,-81.595901
31,15500,30.320738,-81.574669
31,15600,30.314644,-81.619011
31,15700,30.302229,-81.605797
31,15801,30.297424,-81.580711
31,15802,30.306423,-81.564323
31,15901,30.269571,-81.579247
31,15921,30.242126,-81.568939
31,15922,30.209721,-81.559395
31,16000,30.272369,-81.599678
31,16100,30.287998,-81.612366
31,16200,30.276119,-81.623611
31,16300,30.271606,-81.632652
